Downregulated,Upregulated
ENSMUSG00000038239,ENSMUSG00000060063
ENSMUSG00000121879,ENSMUSG00000031709
ENSMUSG00000031840,ENSMUSG00000035372
ENSMUSG00000022206,ENSMUSG00000021662
ENSMUSG00000119981,ENSMUSG00000081382
ENSMUSG00000026785,ENSMUSG00000093651
ENSMUSG00000055240,ENSMUSG00000042626
ENSMUSG00000121377,ENSMUSG00000042548
ENSMUSG00000085317,ENSMUSG00000021171
ENSMUSG00000064023,ENSMUSG00000031428
ENSMUSG00000020990,ENSMUSG00000031778
ENSMUSG00000029516,ENSMUSG00000090236
ENSMUSG00000121871,ENSMUSG00000001419
ENSMUSG00000029797,ENSMUSG00000110657
ENSMUSG00000121252,ENSMUSG00000081302
ENSMUSG00000120183,ENSMUSG00000029415
ENSMUSG00000072647,ENSMUSG00000018678
ENSMUSG00000033544,ENSMUSG00000040918
ENSMUSG00000049184,ENSMUSG00000034271
ENSMUSG00000078898,ENSMUSG00000001964
ENSMUSG00000030657,ENSMUSG00000023249
ENSMUSG00000028023,ENSMUSG00000080268
ENSMUSG00000085962,ENSMUSG00000019487
ENSMUSG00000078899,ENSMUSG00000039879
ENSMUSG00000054932,ENSMUSG00000121171
ENSMUSG00000025375,ENSMUSG00000037336
ENSMUSG00000050357,ENSMUSG00000003348
ENSMUSG00000020053,ENSMUSG00000047777
ENSMUSG00000104116,ENSMUSG00000000326
ENSMUSG00000114860,ENSMUSG00000026360
ENSMUSG00000054052,ENSMUSG00000027315
ENSMUSG00000097814,ENSMUSG00000054204
ENSMUSG00000086243,ENSMUSG00000121084
ENSMUSG00000121213,ENSMUSG00000075327
ENSMUSG00000067872,ENSMUSG00000031434
ENSMUSG00000000359,ENSMUSG00000077450
ENSMUSG00000101537,ENSMUSG00000066270
ENSMUSG00000085154,ENSMUSG00000114179
ENSMUSG00000108431,ENSMUSG00000081113
ENSMUSG00000054206,ENSMUSG00000034751
ENSMUSG00000028031,ENSMUSG00000028036
ENSMUSG00000042529,ENSMUSG00000121066
ENSMUSG00000027932,ENSMUSG00000041057
ENSMUSG00000116883,ENSMUSG00000044197
ENSMUSG00000025854,ENSMUSG00000028134
ENSMUSG00000003934,ENSMUSG00000028382
ENSMUSG00000023266,ENSMUSG00000118283
ENSMUSG00000120227,ENSMUSG00000020143
ENSMUSG00000037847,ENSMUSG00000033323
ENSMUSG00000074824,ENSMUSG00000028671
ENSMUSG00000039629,ENSMUSG00000024501
ENSMUSG00000021390,ENSMUSG00000032567
ENSMUSG00000071661,ENSMUSG00000118537
ENSMUSG00000025978,ENSMUSG00000031103
ENSMUSG00000109408,ENSMUSG00000033022
ENSMUSG00000052921,ENSMUSG00000019923
ENSMUSG00000036218,ENSMUSG00000058881
ENSMUSG00000086010,ENSMUSG00000048490
ENSMUSG00000079260,ENSMUSG00000030353
ENSMUSG00000121226,ENSMUSG00000084289
ENSMUSG00000092103,ENSMUSG00000032058
ENSMUSG00000034282,ENSMUSG00000028328
ENSMUSG00000054115,ENSMUSG00000007872
ENSMUSG00000045064,ENSMUSG00000073982
ENSMUSG00000119979,ENSMUSG00000028776
ENSMUSG00000010175,ENSMUSG00000035337
ENSMUSG00000039563,ENSMUSG00000014592
ENSMUSG00000020866,ENSMUSG00000015846
ENSMUSG00000024440,ENSMUSG00000031627
ENSMUSG00000058921,ENSMUSG00000029580
ENSMUSG00000112858,ENSMUSG00000041375
ENSMUSG00000113455,ENSMUSG00000031146
ENSMUSG00000104459,ENSMUSG00000034842
ENSMUSG00000079444,ENSMUSG00000029687
ENSMUSG00000063430,ENSMUSG00000073409
ENSMUSG00000029283,ENSMUSG00000031266
ENSMUSG00000111828,ENSMUSG00000023286
ENSMUSG00000103857,ENSMUSG00000055491
ENSMUSG00000112773,ENSMUSG00000021366
ENSMUSG00000058966,ENSMUSG00000025007
ENSMUSG00000031070,ENSMUSG00000015839
ENSMUSG00000042707,ENSMUSG00000034681
ENSMUSG00000120413,ENSMUSG00000084235
ENSMUSG00000057315,ENSMUSG00000006782
ENSMUSG00000037703,ENSMUSG00000118499
ENSMUSG00000121424,ENSMUSG00000021483
ENSMUSG00000107465,ENSMUSG00000041895
ENSMUSG00000108207,ENSMUSG00000035840
ENSMUSG00000075025,ENSMUSG00000023908
ENSMUSG00000022595,ENSMUSG00000066042
ENSMUSG00000085360,ENSMUSG00000026395
ENSMUSG00000117322,ENSMUSG00000082878
ENSMUSG00000034159,ENSMUSG00000074743
ENSMUSG00000085408,ENSMUSG00000028100
ENSMUSG00000020601,ENSMUSG00000045045
ENSMUSG00000042807,ENSMUSG00000114835
ENSMUSG00000043251,ENSMUSG00000017765
ENSMUSG00000021120,ENSMUSG00000029313
ENSMUSG00000086810,ENSMUSG00000068335
ENSMUSG00000037579,ENSMUSG00000006273
ENSMUSG00000070583,ENSMUSG00000024143
ENSMUSG00000023333,ENSMUSG00000029174
ENSMUSG00000025927,ENSMUSG00000026159
ENSMUSG00000027939,ENSMUSG00000079505
ENSMUSG00000108436,ENSMUSG00000026478
ENSMUSG00000042834,ENSMUSG00000032724
ENSMUSG00000105985,ENSMUSG00000025408
ENSMUSG00000028427,ENSMUSG00000040270
ENSMUSG00000046618,ENSMUSG00000018654
ENSMUSG00000047986,ENSMUSG00000007589
ENSMUSG00000040841,ENSMUSG00000014905
ENSMUSG00000006362,ENSMUSG00000114733
ENSMUSG00000061353,ENSMUSG00000043702
ENSMUSG00000046070,ENSMUSG00000121452
ENSMUSG00000020258,ENSMUSG00000021814
ENSMUSG00000085207,ENSMUSG00000006301
ENSMUSG00000105282,ENSMUSG00000031432
ENSMUSG00000090069,ENSMUSG00000024472
ENSMUSG00000020974,ENSMUSG00000121725
ENSMUSG00000024299,ENSMUSG00000041488
ENSMUSG00000086657,ENSMUSG00000082895
ENSMUSG00000051832,ENSMUSG00000008682
ENSMUSG00000033763,ENSMUSG00000037661
ENSMUSG00000063626,ENSMUSG00000055116
ENSMUSG00000097882,ENSMUSG00000040859
ENSMUSG00000052229,ENSMUSG00000037960
