Downregulated,Upregulated
ENSMUSG00000043251,ENSMUSG00000038822
ENSMUSG00000036641,ENSMUSG00000027206
ENSMUSG00000107655,ENSMUSG00000042626
ENSMUSG00000032531,ENSMUSG00000041841
ENSMUSG00000070873,ENSMUSG00000015755
ENSMUSG00000033350,ENSMUSG00000055447
ENSMUSG00000020258,ENSMUSG00000029513
ENSMUSG00000120314,ENSMUSG00000035150
ENSMUSG00000075592,ENSMUSG00000073139
ENSMUSG00000034910,ENSMUSG00000029346
ENSMUSG00000036617,ENSMUSG00000022812
ENSMUSG00000020614,ENSMUSG00000079658
ENSMUSG00000086610,ENSMUSG00000022119
ENSMUSG00000003585,ENSMUSG00000022897
ENSMUSG00000031549,ENSMUSG00000053293
ENSMUSG00000090622,ENSMUSG00000033294
ENSMUSG00000033174,ENSMUSG00000011877
ENSMUSG00000039620,ENSMUSG00000112825
ENSMUSG00000067071,ENSMUSG00000025508
ENSMUSG00000033585,ENSMUSG00000040760
ENSMUSG00000045991,ENSMUSG00000003868
ENSMUSG00000034926,ENSMUSG00000000740
ENSMUSG00000044139,ENSMUSG00000032397
ENSMUSG00000024070,ENSMUSG00000041355
ENSMUSG00000002504,ENSMUSG00000039168
ENSMUSG00000022178,ENSMUSG00000000346
ENSMUSG00000031840,ENSMUSG00000044348
ENSMUSG00000030494,ENSMUSG00000028820
ENSMUSG00000052595,ENSMUSG00000031652
ENSMUSG00000051043,ENSMUSG00000022216
ENSMUSG00000085882,ENSMUSG00000061458
ENSMUSG00000024052,ENSMUSG00000039531
ENSMUSG00000042155,ENSMUSG00000031948
ENSMUSG00000071633,ENSMUSG00000022671
ENSMUSG00000104459,ENSMUSG00000028439
ENSMUSG00000022091,ENSMUSG00000063543
ENSMUSG00000051041,ENSMUSG00000032239
ENSMUSG00000037922,ENSMUSG00000017765
ENSMUSG00000038422,ENSMUSG00000042308
ENSMUSG00000096549,ENSMUSG00000038346
ENSMUSG00000017491,ENSMUSG00000028356
ENSMUSG00000058613,ENSMUSG00000059820
ENSMUSG00000026870,ENSMUSG00000073542
ENSMUSG00000036863,ENSMUSG00000121714
ENSMUSG00000095385,ENSMUSG00000032497
ENSMUSG00000035451,ENSMUSG00000039158
ENSMUSG00000033327,ENSMUSG00000028318
ENSMUSG00000121494,ENSMUSG00000030220
ENSMUSG00000113441,ENSMUSG00000024238
ENSMUSG00000039238,ENSMUSG00000019889
ENSMUSG00000037542,ENSMUSG00000026155
ENSMUSG00000085566,ENSMUSG00000007029
ENSMUSG00000041132,ENSMUSG00000025898
ENSMUSG00000101655,ENSMUSG00000031490
ENSMUSG00000120183,ENSMUSG00000028840
ENSMUSG00000020774,ENSMUSG00000011257
ENSMUSG00000031822,ENSMUSG00000020630
ENSMUSG00000018166,ENSMUSG00000025034
ENSMUSG00000084883,ENSMUSG00000024360
ENSMUSG00000045319,ENSMUSG00000024293
ENSMUSG00000118366,ENSMUSG00000089764
ENSMUSG00000026692,ENSMUSG00000022607
ENSMUSG00000020814,ENSMUSG00000079139
ENSMUSG00000024118,ENSMUSG00000022205
ENSMUSG00000059659,ENSMUSG00000028917
ENSMUSG00000073678,ENSMUSG00000046862
ENSMUSG00000036585,ENSMUSG00000027655
ENSMUSG00000112082,ENSMUSG00000028790
ENSMUSG00000022364,ENSMUSG00000033545
ENSMUSG00000032500,ENSMUSG00000030663
ENSMUSG00000022994,ENSMUSG00000036372
ENSMUSG00000115100,ENSMUSG00000038535
ENSMUSG00000042010,ENSMUSG00000037355
ENSMUSG00000025194,ENSMUSG00000028495
ENSMUSG00000002324,ENSMUSG00000092072
ENSMUSG00000044229,ENSMUSG00000067567
ENSMUSG00000054150,ENSMUSG00000078184
ENSMUSG00000038618,ENSMUSG00000092454
ENSMUSG00000022206,ENSMUSG00000024583
ENSMUSG00000028838,ENSMUSG00000058638
ENSMUSG00000026227,ENSMUSG00000027164
ENSMUSG00000024665,ENSMUSG00000021281
ENSMUSG00000025092,ENSMUSG00000038485
ENSMUSG00000059772,ENSMUSG00000114962
ENSMUSG00000047496,ENSMUSG00000001248
ENSMUSG00000021719,ENSMUSG00000037993
ENSMUSG00000032122,ENSMUSG00000004788
ENSMUSG00000037797,ENSMUSG00000082876
ENSMUSG00000061353,ENSMUSG00000053317
ENSMUSG00000117084,ENSMUSG00000031954
ENSMUSG00000097099,ENSMUSG00000029528
ENSMUSG00000038145,ENSMUSG00000036327
ENSMUSG00000025813,ENSMUSG00000082925
ENSMUSG00000022742,ENSMUSG00000033075
ENSMUSG00000025154,ENSMUSG00000033099
ENSMUSG00000116378,ENSMUSG00000061947
ENSMUSG00000004187,ENSMUSG00000021392
ENSMUSG00000039632,ENSMUSG00000026799
ENSMUSG00000020709,ENSMUSG00000001016
ENSMUSG00000024168,ENSMUSG00000074656
ENSMUSG00000117406,ENSMUSG00000062101
ENSMUSG00000029563,ENSMUSG00000059474
ENSMUSG00000033460,ENSMUSG00000057691
ENSMUSG00000120481,ENSMUSG00000041483
ENSMUSG00000070473,ENSMUSG00000055044
ENSMUSG00000074284,ENSMUSG00000084342
ENSMUSG00000028479,ENSMUSG00000120224
ENSMUSG00000105681,ENSMUSG00000042133
ENSMUSG00000054889,ENSMUSG00000054648
ENSMUSG00000048600,ENSMUSG00000021635
ENSMUSG00000100235,ENSMUSG00000016382
ENSMUSG00000115186,ENSMUSG00000060647
ENSMUSG00000072572,ENSMUSG00000025076
ENSMUSG00000092545,ENSMUSG00000037808
ENSMUSG00000069303,ENSMUSG00000045411
ENSMUSG00000116718,ENSMUSG00000031729
ENSMUSG00000006362,ENSMUSG00000029550
ENSMUSG00000024818,ENSMUSG00000021629
ENSMUSG00000106526,ENSMUSG00000030816
ENSMUSG00000030800,ENSMUSG00000033319
ENSMUSG00000013033,ENSMUSG00000041645
ENSMUSG00000045392,ENSMUSG00000041112
ENSMUSG00000086390,ENSMUSG00000082908
ENSMUSG00000056643,ENSMUSG00000026857
ENSMUSG00000026730,ENSMUSG00000005262
ENSMUSG00000098176,ENSMUSG00000062554
ENSMUSG00000031561,ENSMUSG00000032215
ENSMUSG00000036882,ENSMUSG00000083337
ENSMUSG00000021057,ENSMUSG00000101188
ENSMUSG00000034522,ENSMUSG00000030423
ENSMUSG00000102091,ENSMUSG00000025176
ENSMUSG00000097321,ENSMUSG00000019920
ENSMUSG00000090081,ENSMUSG00000081810
ENSMUSG00000044206,ENSMUSG00000038437
ENSMUSG00000116130,ENSMUSG00000090862
ENSMUSG00000060969,ENSMUSG00000020526
ENSMUSG00000066000,ENSMUSG00000026565
ENSMUSG00000079550,ENSMUSG00000060601
ENSMUSG00000072494,ENSMUSG00000024750
ENSMUSG00000041429,ENSMUSG00000091586
ENSMUSG00000025854,ENSMUSG00000029003
ENSMUSG00000045064,ENSMUSG00000016481
ENSMUSG00000043398,ENSMUSG00000033352
ENSMUSG00000022383,ENSMUSG00000028577
ENSMUSG00000002908,ENSMUSG00000031198
ENSMUSG00000090555,ENSMUSG00000032171
ENSMUSG00000024978,ENSMUSG00000032998
ENSMUSG00000025405,ENSMUSG00000078817
ENSMUSG00000025175,ENSMUSG00000001305
ENSMUSG00000037455,ENSMUSG00000035476
ENSMUSG00000034413,ENSMUSG00000026843
ENSMUSG00000110344,ENSMUSG00000046727
ENSMUSG00000035104,ENSMUSG00000028868
ENSMUSG00000051627,ENSMUSG00000057036
ENSMUSG00000112366,ENSMUSG00000026979
ENSMUSG00000063535,ENSMUSG00000109933
ENSMUSG00000037703,ENSMUSG00000042854
ENSMUSG00000116238,ENSMUSG00000101567
ENSMUSG00000070565,ENSMUSG00000035873
ENSMUSG00000021884,ENSMUSG00000047710
ENSMUSG00000037523,ENSMUSG00000020770
ENSMUSG00000026676,ENSMUSG00000027663
ENSMUSG00000041324,ENSMUSG00000004535
ENSMUSG00000024891,ENSMUSG00000026678
ENSMUSG00000073437,ENSMUSG00000020358
ENSMUSG00000075419,ENSMUSG00000036873
ENSMUSG00000033361,ENSMUSG00000083767
ENSMUSG00000032420,ENSMUSG00000057789
ENSMUSG00000039741,ENSMUSG00000005057
ENSMUSG00000009376,ENSMUSG00000025066
ENSMUSG00000030968,ENSMUSG00000001380
ENSMUSG00000034382,ENSMUSG00000041716
ENSMUSG00000099146,ENSMUSG00000036769
ENSMUSG00000035172,ENSMUSG00000083022
ENSMUSG00000055069,ENSMUSG00000073647
ENSMUSG00000036813,ENSMUSG00000043962
ENSMUSG00000063704,ENSMUSG00000037949
ENSMUSG00000025422,ENSMUSG00000027132
ENSMUSG00000032086,ENSMUSG00000059751
ENSMUSG00000000901,ENSMUSG00000019188
ENSMUSG00000063193,ENSMUSG00000001998
ENSMUSG00000120359,ENSMUSG00000006333
ENSMUSG00000069170,ENSMUSG00000007836
ENSMUSG00000033768,ENSMUSG00000033902
ENSMUSG00000005982,ENSMUSG00000031568
ENSMUSG00000029428,ENSMUSG00000046718
ENSMUSG00000029722,ENSMUSG00000020184
ENSMUSG00000023909,ENSMUSG00000066068
ENSMUSG00000063382,ENSMUSG00000027695
ENSMUSG00000090090,ENSMUSG00000060475
ENSMUSG00000109130,ENSMUSG00000041506
ENSMUSG00000047963,ENSMUSG00000031668
ENSMUSG00000050493,ENSMUSG00000112449
ENSMUSG00000024395,ENSMUSG00000087107
ENSMUSG00000015843,ENSMUSG00000008683
ENSMUSG00000025577,ENSMUSG00000017264
ENSMUSG00000119994,ENSMUSG00000067150
ENSMUSG00000075703,ENSMUSG00000021962
ENSMUSG00000023022,ENSMUSG00000038975
ENSMUSG00000061013,ENSMUSG00000060791
ENSMUSG00000104664,ENSMUSG00000041560
ENSMUSG00000069607,ENSMUSG00000040596
ENSMUSG00000029254,ENSMUSG00000030216
ENSMUSG00000054426,ENSMUSG00000018678
ENSMUSG00000086593,ENSMUSG00000112964
ENSMUSG00000044921,ENSMUSG00000063229
