#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000001119	na	63.9245	132.046	90.3698	380.938	459.576	224.222	379.086	77.0845	386.541
ENSMUSG00000001120	na	394.201	333.117	133.501	29.8775	47.175	92.8419	87.0692	150.409	43.1035
ENSMUSG00000001123	na	42031.3	34644.4	45234.4	22225.8	20331.5	32520.9	22845.2	46478.1	24067.1
ENSMUSG00000001127	na	2951.19	3712.3	3520.32	4025.99	3944.44	4030.75	3761.4	3572.22	3862.64
ENSMUSG00000001128	na	2147.56	1291.95	1579.42	974.007	1145.9	2345.57	1537.78	1620.65	1624.03
ENSMUSG00000001131	na	1228.27	549.191	957.1	19.4204	22.8266	783.025	4.01858	847.929	11.1235
ENSMUSG00000001134	na	464.679	435.097	461.898	440.894	447.036	584.707	495.316	498.24	478.605
ENSMUSG00000001138	na	628.591	525.181	593.564	935.165	980.019	383.629	788.977	471.908	1083.15
ENSMUSG00000001143	na	479.434	682.738	458.01	1163.73	1552.2	409.905	1378.38	404.223	1407.12
ENSMUSG00000001150	na	1304.37	1371.48	1197.4	1689.57	1912.87	790.032	1808.36	1152.51	1696.33
ENSMUSG00000001151	na	1413.95	940.83	1365.82	734.986	937.414	942.435	1063.59	1050.98	888.488
ENSMUSG00000001155	na	5337.65	8770.58	8759.71	17798.3	16200.8	16632.7	12507.1	7716	14745.5
ENSMUSG00000001156	na	5594.94	1653.58	3563.45	567.672	535.664	2678.4	546.527	7161.35	475.529
ENSMUSG00000001157	na	620.981	625.719	593.565	694.652	803.496	402.899	626.898	451.226	770.302
ENSMUSG00000001158	na	1133.9	1938.68	807.166	785.778	655.884	735.727	699.232	819.728	688.266
ENSMUSG00000001166	na	42.6164	108.038	106.801	62.7427	63.9145	57.8072	37.5067	124.087	47.2749
ENSMUSG00000001173	na	318.1	552.192	351.21	410.815	391.096	301.298	464.816	407.984	488.043
