#1.2																
20399	15															
NAME	DESCRIPTION	S1	S5	S40	S41	S6	S7	S34	S36	S38	S2	S3	S39	S33	S35	S37
ENSMUSG00000000627	na	405.954	242.517	169.14	1031.16	772.156	338.125	240.385	283.048	244.373	1849.41	1135.47	1453.67	1340.03	1022.83	935.736
ENSMUSG00000000628	na	5556.98	4991.4	4548.27	1779.63	1879.61	6180.8	8735.12	5419.65	4413.36	1122.28	1335.61	1346.9	1033.21	1300.17	1154.43
ENSMUSG00000000631	na	5644.83	6071.15	5540.98	4250.17	6013.45	6404.97	8487.54	6576.91	6057.17	3762.59	4766.28	4751.02	4115.82	5014.36	4209.43
ENSMUSG00000000673	na	49.384	110.654	122.751	86.0379	70.8398	83.2174	30.0481	75.1252	60.2998	87.8814	74.2457	69.6089	360.804	87.1443	104.272
ENSMUSG00000000682	na	846.225	2571.78	2273.04	1335.85	1224.74	1243.88	616.987	1169.37	1630.63	1067.6	804.597	973.174	664.89	927.419	945.215
ENSMUSG00000000686	na	21.7625	45.1837	60.662	65.337	151.125	14.8915	11.0176	48.5658	48.2398	29.9448	110.562	50.6861	36.9004	116.404	41.3024
ENSMUSG00000000690	na	50.2211	36.8846	48.5296	108.679	86.5819	39.4188	32.0513	54.6365	59.0303	195.943	85.5439	130.432	154.435	117.677	123.907
ENSMUSG00000000693	na	189.166	214.854	197.686	280.756	369.941	192.714	217.348	327.061	251.99	256.483	320.387	266.947	300.67	347.306	435.369
ENSMUSG00000000708	na	2382.19	2152.37	2171.71	3393.48	3537.64	2026.47	1976.03	2803.43	2718.01	3162	3024.67	3271.24	2791.52	3237.44	2840.81
ENSMUSG00000000711	na	2777.53	3385.37	3210.71	4169.56	5360.6	3075.96	2234.16	3489.52	4045.14	3429.67	4609.65	4446.47	3843.99	5309.68	3581.57
ENSMUSG00000000730	na	8.37017	37.8068	32.1152	6.46901	10.2324	28.9071	10.016	8.34725	18.4073	16.2743	5.64913	15.5437	10.2501	7.63308	4.73961
ENSMUSG00000000732	na	938.297	1073.35	844.275	1581.66	911.473	1222.86	967.542	1732.43	1598.26	898.984	961.157	960.333	1069.43	1142.43	1197.09
ENSMUSG00000000738	na	1335.88	1285.43	1306.02	1229.75	1275.91	1365.64	1431.29	1202.76	1229.48	1416.52	1584.18	1511.79	1545.03	1470	1337.92
ENSMUSG00000000739	na	506.394	221.308	216.956	840.974	586.396	240.016	453.727	404.462	371.954	626.888	405.931	525.784	565.806	590.929	796.255
ENSMUSG00000000740	na	5788.37	2025.85	2174.73	1720.32	1088.46	2776.39	3800.31	1818.29	2384.95	3161.96	1215.33	1659.29	1935.42	1066.06	1794.12
ENSMUSG00000000743	na	3330.46	3255.92	3058.03	2319.43	2521.52	2774.74	2979.46	2865.44	3181.68	2584.83	2552.35	2645.62	2608.39	2389.62	2391.06
ENSMUSG00000000751	na	2011.32	1313.1	1396.63	1955.59	1993.79	1253.51	1317.11	1996.54	1918.87	1747.86	1933.63	1818.59	1729.54	1911.41	1824.07
ENSMUSG00000000753	na	668.777	365.158	321.152	470.297	321.141	420.467	953.526	604.036	502.71	612.566	510.036	462.258	671.039	562.939	656.776
ENSMUSG00000000759	na	1828.88	2018.53	1832	2215.01	1953.6	2003.35	2687.33	2164.97	1810.88	2013.45	2351.66	1885.53	2338.4	2284.83	2559.37
ENSMUSG00000000776	na	631.948	876.928	812.161	360.971	434.484	990.724	967.545	695.86	775.016	350.225	339.754	379.808	371.735	337.765	344.638
ENSMUSG00000000782	na	626.09	1282.66	1531.55	892.08	1141.31	736.694	249.399	1264.23	1649.04	839.104	986.173	938.71	675.14	1165.31	1052.2
ENSMUSG00000000787	na	19992.8	23251.2	24573.8	13205.2	21906.3	28871.2	28029.7	35384.2	29425.9	9107.12	11339.5	10668.4	11738.4	18119.2	13257.6
ENSMUSG00000000791	na	12.5553	37.8068	33.5425	18.7601	80.2851	36.7908	14.0224	53.1189	88.228	24.737	11.2983	15.5437	21.8669	31.1684	39.2711
ENSMUSG00000000792	na	15.9033	7.37693	11.4187	23.2884	9.4453	16.6435	17.0272	15.1768	11.4252	20.8311	27.4386	21.6261	26.6503	16.5383	20.9897
ENSMUSG00000000794	na	195.862	202.866	163.431	88.6255	207.01	129.644	195.313	295.948	209.462	189.433	217.088	200.717	142.135	238.534	172.657
ENSMUSG00000000804	na	1998.8	2642.76	2579.18	1993.11	2138.56	2182.05	1973.16	2775.8	2064.78	1767.39	2173.3	2045.72	1520.43	2225.02	1805.79
ENSMUSG00000000805	na	2331.1	3456.15	2397.24	3200.17	2262.88	5071.85	3985.37	3361	3910.04	5107.54	5200.25	4499.51	4645.95	4700.27	5126.86
ENSMUSG00000000811	na	960.047	633.494	610.897	614.55	483.284	501.055	755.207	681.435	675.362	654.23	536.665	546.737	615.009	471.34	553.859
ENSMUSG00000000817	na	34.3177	61.7818	84.2131	36.8734	68.4784	27.1551	11.0176	35.6655	60.2998	31.2467	47.6141	57.4443	22.5502	37.5293	34.5315
ENSMUSG00000000823	na	2022.25	1668.12	1866.29	1857.89	1666.29	1301.69	2030.28	2067.1	1605.86	1535.02	1894.07	1775.37	2138.13	1877.09	2191.67
ENSMUSG00000000826	na	6016.64	6306.37	6506.37	4360.02	5322.45	4942.33	4744.59	6079.97	5945.39	4269.17	4223.88	4523.11	3750.9	4905.43	3841.76
ENSMUSG00000000827	na	2494.12	2420.54	2148.83	2563.66	2436.91	2598.11	3019.84	2209.73	2420.87	2712.62	2502.58	2605.29	2621.96	2441.31	2459.83
ENSMUSG00000000838	na	2276.67	2543.2	2315.17	2191.03	2495.97	2307.32	2233.57	2822.13	2373.23	2014.81	2151.53	1940.26	2023.39	2172.87	2067.17
ENSMUSG00000000861	na	70.3095	82.9905	75.6491	32.3451	56.6718	162.931	20.0321	66.0192	65.3776	116.524	75.8597	75.6913	99.0843	101.138	71.7713
ENSMUSG00000000876	na	675.473	615.052	624.462	1118.49	993.331	469.521	503.806	736.835	609.98	1191.93	1143.54	1205.65	1297.66	1045.73	1027.82
ENSMUSG00000000881	na	1448.04	809.619	829.296	1355.93	1278.27	918.013	1432.3	1233.89	926.072	1372.26	1375.96	1361.79	1607.21	1305.27	1316.95
ENSMUSG00000000884	na	67.7984	93.1338	62.396	80.2157	77.9238	82.3414	114.183	82.7137	70.4555	94.3911	91.1931	89.2076	96.3509	74.9528	75.6258
ENSMUSG00000000901	na	130.575	107.888	87.0678	529.166	455.737	99.8608	100.16	152.527	127.582	869.049	673.861	704.201	982.643	613.19	658.804
ENSMUSG00000000902	na	1332.54	1379.49	1470.88	1680.65	1654.51	1546.09	1378.21	1230.09	1424.35	1833.15	1739.93	1959.19	1987.85	1852.93	1853.19
ENSMUSG00000000903	na	589.263	528.372	242.648	1172.82	557.273	896.995	1777.83	450.752	635.367	1344.91	919.19	839.359	1518.37	890.525	1385.34
ENSMUSG00000000915	na	4961.01	4440.92	4159.26	3101.9	2438.46	4625.12	8696.92	4993.18	4173.39	2687.87	2672.04	2811.39	3036.07	2462.92	2772.66
ENSMUSG00000000916	na	282.912	460.136	413.929	376.496	428.187	353.893	307.492	333.89	340.218	307.259	431.755	376.429	478.338	442.083	475.316
ENSMUSG00000000934	na	138.108	209.32	141.307	125.499	109.408	254.908	170.272	133.556	149.163	132.147	92.8071	139.218	179.718	113.224	160.47
ENSMUSG00000000942	na	82.8647	74.6914	72.7944	107.386	92.8788	63.946	87.1394	61.4661	74.2639	192.688	168.667	144.624	219.352	138.668	203.126
ENSMUSG00000000948	na	11.7182	8.29905	6.42304	12.2911	11.0195	25.6824	11.0176	19.7299	12.06	4.55681	16.9474	10.1372	12.3001	18.4466	17.6043
ENSMUSG00000000957	na	5011.25	8079.6	8512.63	3039.13	3662.44	7281.81	4080.53	6893.23	7807.11	1824.68	1405.02	1832.81	1656.42	1576.23	1699.48
ENSMUSG00000000958	na	338.992	559.724	525.978	459.949	561.207	539.6	390.625	417.362	361.798	556.58	558.457	514.969	681.288	533.042	564.013
ENSMUSG00000000959	na	1008.61	1042.91	992.713	1353.96	1342.02	969.703	1108.77	1107.15	1134.9	1305.86	1279.13	1215.79	1331.15	1277.27	1362.97
ENSMUSG00000000976	na	499.7	962.695	835.709	751.053	912.258	860.208	682.091	777.809	747.081	560.489	718.242	630.537	674.452	848.549	669.644
ENSMUSG00000000982	na	455.338	6320.19	1898.36	444.421	443.142	12115.6	2453.93	5830.93	6938.28	22.7841	21.7895	15.5437	21.8669	12.0857	17.6043
ENSMUSG00000000983	na	10.8812	23.975	13.5597	3.88141	3.14843	33.2869	7.01122	15.9357	31.102	3.90584	2.42106	7.43397	3.4167	4.45263	4.06253
