#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000001445	na	1081.3	1037.02	1303.25	1016.47	1072.51	1321.58
ENSMUSG00000001467	na	1015.07	880.457	1076.71	769.032	837.558	1367.36
ENSMUSG00000001472	na	9726.26	10154.5	8779.98	10360.7	10717.3	10211.2
ENSMUSG00000001473	na	459.554	358.316	458.936	442.718	403.544	546.672
ENSMUSG00000001482	na	737.983	731.964	639.251	669.165	640.527	962.14
ENSMUSG00000001493	na	404.137	338.948	286.428	373.385	377.138	350.554
ENSMUSG00000001496	na	10314.6	8145.44	11625.5	6814.4	9003.83	10772.2
ENSMUSG00000001504	na	2818.84	2251.59	3131.19	1848.48	2181.58	2674.6
ENSMUSG00000001506	na	7653.6	6339.13	6814.38	5976.7	6801.35	7268.01
ENSMUSG00000001507	na	8556.16	8316.9	6441.57	7925.73	6660.61	6453.39
ENSMUSG00000001508	na	8.10978	58.9124	9.76459	33.7128	25.0522	58.0839
ENSMUSG00000001517	na	146.652	140.421	174.355	199.732	185.985	139.303
ENSMUSG00000001518	na	615.67	593.965	522.733	519.049	594.481	600.654
ENSMUSG00000001521	na	1352.98	1379.19	1246.61	1262.64	1242.46	1401.53
ENSMUSG00000001524	na	282.491	314.737	306.608	289.421	313.492	287.686
ENSMUSG00000001525	na	7796.29	7032.37	7316.96	7416.66	6527.1	6884.65
ENSMUSG00000001542	na	1023.86	1127.41	1113.82	1066.73	1055.58	1070.79
ENSMUSG00000001552	na	13958.1	13955.4	11633.8	13945.1	10523	10933.6
ENSMUSG00000001555	na	852.879	677.088	749.922	648.81	788.808	817.274
ENSMUSG00000001569	na	1129.96	1044.28	995.337	1120.79	983.132	987.425
ENSMUSG00000001576	na	1956.5	1819.81	1584.46	2010.71	1783.43	1801.3
ENSMUSG00000001583	na	521.731	515.684	468.049	446.535	522.71	591.087
ENSMUSG00000001588	na	350.072	304.246	276.013	466.255	538.285	308.87
ENSMUSG00000001604	na	394.676	404.316	572.857	363.844	585.005	760.56
ENSMUSG00000001627	na	3345.98	3513.73	3930.6	4044.92	4002.97	3515.78
ENSMUSG00000001630	na	814.378	846.781	851.388	806.84	765.575	798.816
ENSMUSG00000001632	na	1897.71	1825.49	1540.85	2102.91	1937.15	1561.43
ENSMUSG00000001642	na	1285.86	1066.34	1582.49	861.287	985.871	1257.48
ENSMUSG00000001663	na	1830.11	1802.08	2167.72	1685.65	1931.75	2686.93
ENSMUSG00000001665	na	1421.92	1292.04	1817.52	1012.65	1295.95	1776.68
ENSMUSG00000001666	na	712.309	623.824	828.685	596.017	659.485	767.39
ENSMUSG00000001670	na	103.4	91.1931	22.1331	130.398	103.594	198.852
ENSMUSG00000001672	na	439.956	482.597	384.725	485.973	418.44	420.254
ENSMUSG00000001674	na	672.166	602.287	769.983	585.451	652.969	685.801
ENSMUSG00000001687	na	7082.95	7233.73	7302.8	7505.69	6246.28	5841.7
ENSMUSG00000001700	na	595.396	481.791	606.704	531.135	640.529	581.524
ENSMUSG00000001707	na	376.429	312.316	440.709	309.14	344.637	386.087
ENSMUSG00000001729	na	4985.52	4871.93	4088.11	5183.51	4340.79	4141.73
ENSMUSG00000001739	na	612.289	614.947	358.688	281.151	656.098	930.019
ENSMUSG00000001741	na	709.605	743.262	546.164	1013.28	743.442	579.474
ENSMUSG00000001750	na	2913.43	2740.64	2782.27	2426.69	3180.93	3023.13
ENSMUSG00000001751	na	620.398	669.018	589.13	571.209	643.233	779.009
ENSMUSG00000001755	na	1029.27	790.067	1042.21	754.403	906.618	1120.68
ENSMUSG00000001761	na	833.28	1171.79	797.442	1102.98	1009.54	1166.46
ENSMUSG00000001763	na	91.9109	118.632	150.375	87.7805	121.199	174.252
ENSMUSG00000001767	na	1052.92	964.387	1014.22	952.863	950.63	955.993
ENSMUSG00000001768	na	8233.59	7914.85	5835.38	10002.3	7518.45	5805.67
ENSMUSG00000001773	na	7.43397	8.8772	3.90584	13.3579	22.3439	101.134
ENSMUSG00000001774	na	2598.51	2434.78	3171.53	2443.22	2437.52	2578.93
ENSMUSG00000001783	na	3879.85	3323.3	3914.31	3438.7	3355.64	3588.22
ENSMUSG00000001785	na	535.246	567.334	475.211	543.22	488.181	508.406
ENSMUSG00000001786	na	635.267	547.16	651.623	587.746	484.118	681.976
ENSMUSG00000001794	na	6249.21	7125.91	6264.76	6355.65	6625.37	6433.06
ENSMUSG00000001802	na	310.874	326.036	279.268	457.348	364.272	298.62
ENSMUSG00000001827	na	14.1921	10.4912	9.11362	1.90827	20.3126	302.036
