#1.2							
19067	6						
Name	Description	S78	S76	S74	S80	S43	S44
ENSMUSG00000001657	na	306.364	305.3	326.734	203.785	253.626	217.31
ENSMUSG00000001661	na	667.974	656.774	605.174	460.373	578.462	519.073
ENSMUSG00000001663	na	4318.28	3713.26	3318.64	1541.17	2603.57	2141.16
ENSMUSG00000001665	na	2748.91	2526.47	3046.32	2201.2	2091.43	1912.53
ENSMUSG00000001666	na	3112.22	2925.46	2674.38	2849.36	4439.46	3652.09
ENSMUSG00000001670	na	6.69648	157.13	7.54581	63.5282	372.635	7.20934
ENSMUSG00000001672	na	988.569	983.438	864.751	832.468	749.171	718.874
ENSMUSG00000001674	na	584.29	661.585	647.97	657.266	668.225	572.354
ENSMUSG00000001687	na	5080.82	5445.82	5799.05	5941.85	4984.68	5126.83
ENSMUSG00000001700	na	1245.54	1382.47	1285.81	1472.7	1432.02	1390.38
ENSMUSG00000001707	na	578.409	521.009	468.595	581.655	608.702	658.11
ENSMUSG00000001729	na	3131.46	2980.64	3554.82	3687.09	2729.42	2895.07
ENSMUSG00000001739	na	374.166	900.739	1064.71	1039.55	303.375	357.378
ENSMUSG00000001741	na	85.3801	164.021	179.59	112.206	46.8232	56.6449
ENSMUSG00000001750	na	863.846	994.463	865.505	890.221	907.2	834.224
ENSMUSG00000001751	na	1813.91	1306.66	1285.81	1416.6	2322.63	2138.09
ENSMUSG00000001755	na	4779.47	4083.77	3946.4	6780.01	9780.61	9339.95
ENSMUSG00000001761	na	2512.86	1834.56	2185.27	1998.25	2705.99	2602.57
ENSMUSG00000001763	na	2707.95	2568.54	2610.83	2060.11	2235.85	2182.37
ENSMUSG00000001767	na	673.834	766.351	752.317	763.989	812.578	831.134
ENSMUSG00000001768	na	2751.4	2829	2544.45	2518.01	2711.89	2788.99
ENSMUSG00000001773	na	6891.18	5198.9	3984.25	875.369	2827.96	2063.94
ENSMUSG00000001774	na	2699.52	2846.25	2730.07	3188.79	3674.64	3628.36
ENSMUSG00000001783	na	3735.81	3465.12	3663.49	3899.98	4416.99	4409.03
ENSMUSG00000001785	na	588.454	536.858	521.416	552.777	556.026	594.255
ENSMUSG00000001786	na	1886.73	1789.05	1681.95	2678.92	3824.88	3540.84
ENSMUSG00000001794	na	7275.88	6266.53	6736.88	8563.96	8707.18	8321.66
ENSMUSG00000001802	na	1154.31	1024.78	1084.32	637.758	901.348	950.606
ENSMUSG00000001827	na	7639.92	7828.95	7237.11	8590.04	11369.3	11201.1
ENSMUSG00000001829	na	2307.79	1888.31	2092.45	2404.99	2841.56	2649.93
ENSMUSG00000001833	na	2759.77	3212.82	3304.29	3514.66	2594.79	2894.01
ENSMUSG00000001844	na	1051.35	937.951	937.943	1050.28	1014.5	941.334
ENSMUSG00000001847	na	8656.11	7957.27	8532.68	9288.43	10037.7	9739.09
ENSMUSG00000001855	na	1528.48	1314.24	1464.65	1470.23	1265.2	1313.13
ENSMUSG00000001864	na	9427	10303.5	10194.3	8185.19	6986.41	6604.81
ENSMUSG00000001870	na	347.38	1483.07	1344.67	1534.57	307.277	493.324
ENSMUSG00000001891	na	6028.52	5179.07	5314.41	6110.13	7572.49	7600.73
ENSMUSG00000001909	na	1635.61	1607.82	1339.38	1400.1	1699.29	1611.8
ENSMUSG00000001910	na	3261.89	3105.81	3739.81	3674.6	3517.79	3839.86
ENSMUSG00000001911	na	1637.29	1366.61	1733.27	1452.9	1352.02	1508.81
ENSMUSG00000001918	na	3288.75	3175.74	3600.14	3450.36	2020.25	2483.13
ENSMUSG00000001924	na	7638.51	6512.63	7799.93	7860.09	7926.58	8261.02
ENSMUSG00000001930	na	161.553	529.969	891.915	716.961	83.8916	208.041
ENSMUSG00000001942	na	1202.86	1079.92	1214.88	1204.55	1191.07	1202.93
ENSMUSG00000001943	na	59.4313	189.52	230.902	328.366	35.1174	165.815
ENSMUSG00000001946	na	981.872	1661.58	1350.7	1318.42	560.903	689.007
ENSMUSG00000001948	na	198.383	190.899	138.843	208.736	195.097	182.293
ENSMUSG00000001962	na	951.741	943.457	891.917	900.12	958.907	939.275
ENSMUSG00000001964	na	817.712	868.553	780.995	735.15	638.049	670.429
ENSMUSG00000001983	na	531.533	465.876	538.771	579.179	700.397	778.609
ENSMUSG00000001986	na	535.718	456.227	463.312	315.166	630.163	481.996
ENSMUSG00000001995	na	535.717	523.077	711.571	577.529	285.816	407.844
ENSMUSG00000001998	na	452.013	394.892	339.561	386.945	363.855	449.039
ENSMUSG00000001999	na	2491.09	2012.36	1456.35	1325.84	2148.01	1980.52
ENSMUSG00000002006	na	59.4313	79.9432	102.623	74.2538	38.0439	57.6748
ENSMUSG00000002007	na	15.9041	19.9858	20.3737	21.4511	5.8529	21.628
ENSMUSG00000002010	na	8578.93	7292.13	7618.48	7321.63	10162.6	9724.88
ENSMUSG00000002012	na	14.23	15.8508	24.9012	28.8765	6.82839	22.6579
ENSMUSG00000002014	na	1940.31	1707.75	1485.77	1650.91	2099.25	1806.45
ENSMUSG00000002015	na	5396.53	4944.07	5022.49	6109.44	6762.05	6369.97
ENSMUSG00000002017	na	1692.53	2039.24	2152.86	2081.63	1834.86	2044.33
ENSMUSG00000002020	na	39.3419	33.0799	118.469	120.456	12.6813	80.3327
ENSMUSG00000002028	na	3420.23	3434.11	3189.63	2921.45	2333.36	2456.35
ENSMUSG00000002031	na	1088.18	1115.76	1085.09	1017.28	1056.45	982.53
ENSMUSG00000002032	na	2671.9	2429.32	1975.5	2796.88	4753.53	3808.62
