#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000000792	na	23.2884	11.4187	7.37693	15.9033	9.4453	16.6435	17.0272	15.1768	11.4252
ENSMUSG00000000794	na	88.6255	163.431	202.866	195.862	207.01	129.644	195.313	295.948	209.462
ENSMUSG00000000804	na	1993.11	2579.18	2642.76	1998.8	2138.56	2182.05	1973.16	2775.8	2064.78
ENSMUSG00000000805	na	3200.17	2397.24	3456.15	2331.1	2262.88	5071.85	3985.37	3361	3910.04
ENSMUSG00000000811	na	614.55	610.897	633.494	960.047	483.284	501.055	755.207	681.435	675.362
ENSMUSG00000000817	na	36.8734	84.2131	61.7818	34.3177	68.4784	27.1551	11.0176	35.6655	60.2998
ENSMUSG00000000823	na	1857.89	1866.29	1668.12	2022.25	1666.29	1301.69	2030.28	2067.1	1605.86
ENSMUSG00000000826	na	4360.02	6506.37	6306.37	6016.64	5322.45	4942.33	4744.59	6079.97	5945.39
ENSMUSG00000000827	na	2563.66	2148.83	2420.54	2494.12	2436.91	2598.11	3019.84	2209.73	2420.87
ENSMUSG00000000838	na	2191.03	2315.17	2543.2	2276.67	2495.97	2307.32	2233.57	2822.13	2373.23
ENSMUSG00000000861	na	32.3451	75.6491	82.9905	70.3095	56.6718	162.931	20.0321	66.0192	65.3776
ENSMUSG00000000876	na	1118.49	624.462	615.052	675.473	993.331	469.521	503.806	736.835	609.98
ENSMUSG00000000881	na	1355.93	829.296	809.619	1448.04	1278.27	918.013	1432.3	1233.89	926.072
ENSMUSG00000000884	na	80.2157	62.396	93.1338	67.7984	77.9238	82.3414	114.183	82.7137	70.4555
ENSMUSG00000000901	na	529.166	87.0678	107.888	130.575	455.737	99.8608	100.16	152.527	127.582
ENSMUSG00000000902	na	1680.65	1470.88	1379.49	1332.54	1654.51	1546.09	1378.21	1230.09	1424.35
ENSMUSG00000000903	na	1172.82	242.648	528.372	589.263	557.273	896.995	1777.83	450.752	635.367
ENSMUSG00000000915	na	3101.9	4159.26	4440.92	4961.01	2438.46	4625.12	8696.92	4993.18	4173.39
ENSMUSG00000000916	na	376.496	413.929	460.136	282.912	428.187	353.893	307.492	333.89	340.218
ENSMUSG00000000934	na	125.499	141.307	209.32	138.108	109.408	254.908	170.272	133.556	149.163
ENSMUSG00000000942	na	107.386	72.7944	74.6914	82.8647	92.8788	63.946	87.1394	61.4661	74.2639
ENSMUSG00000000948	na	12.2911	6.42304	8.29905	11.7182	11.0195	25.6824	11.0176	19.7299	12.06
ENSMUSG00000000957	na	3039.13	8512.63	8079.6	5011.25	3662.44	7281.81	4080.53	6893.23	7807.11
ENSMUSG00000000958	na	459.949	525.978	559.724	338.992	561.207	539.6	390.625	417.362	361.798
ENSMUSG00000000959	na	1353.96	992.713	1042.91	1008.61	1342.02	969.703	1108.77	1107.15	1134.9
ENSMUSG00000000976	na	751.053	835.709	962.695	499.7	912.258	860.208	682.091	777.809	747.081
ENSMUSG00000000982	na	444.421	1898.36	6320.19	455.338	443.142	12115.6	2453.93	5830.93	6938.28
ENSMUSG00000000983	na	3.88141	13.5597	23.975	10.8812	3.14843	33.2869	7.01122	15.9357	31.102
ENSMUSG00000001014	na	23.9353	34.2562	38.7289	44.3619	11.0195	77.0855	26.0417	55.3954	71.725
ENSMUSG00000001016	na	2347.58	2522.1	2538.58	2937.89	2040.98	3142.1	3697.92	2651.4	2694.44
ENSMUSG00000001017	na	5800.07	5379.64	5304.96	6289.17	5526.28	6520.75	6362.08	5877.11	6127.69
ENSMUSG00000001018	na	1930.37	1409.5	1419.13	1450.56	1559.27	1311.33	2436.92	1947.96	1473.22
ENSMUSG00000001020	na	870.729	2980.6	2118.09	1204.47	745.392	832.174	760.218	831.691	1004.15
ENSMUSG00000001021	na	10.9973	4.99569	14.7539	13.3923	7.08398	9.63569	15.024	5.31189	3.80841
ENSMUSG00000001025	na	8281.33	11686.8	10173.3	17003.3	6083.82	11224.8	11077.5	7445.49	10718.1
ENSMUSG00000001027	na	9.05662	41.3929	75.6136	18.4144	13.3808	26.2792	24.0385	59.9484	51.4135
ENSMUSG00000001029	na	2549.42	1687.12	1337.07	1263.9	3273.61	637.707	446.715	1496.43	1841.37
ENSMUSG00000001034	na	1159.24	1401.64	1490.14	885.567	1199.56	1200.08	1025.65	1211.11	1398.34
ENSMUSG00000001036	na	4767.85	2146.67	2201.98	2619.01	5914.95	2885.46	1857.96	2788.7	3190.94
ENSMUSG00000001039	na	196.011	122.751	159.526	264.498	133.808	385.428	535.857	191.228	200.576
ENSMUSG00000001052	na	3014.5	3418.52	3585.15	2727.84	3366.48	3725.5	3870.18	3674.36	3611.01
ENSMUSG00000001053	na	681.834	494.574	493.332	228.506	917.769	331.994	184.295	223.858	450.661
ENSMUSG00000001054	na	718.061	837.844	774.577	615.208	765.068	572.887	639.023	642.736	658.222
ENSMUSG00000001056	na	377.143	1218.95	1386.87	1300.73	457.309	1302.57	2097.34	928.818	1242.19
ENSMUSG00000001062	na	883.023	954.889	1006.03	745.782	860.313	482.661	650.039	723.175	736.925
ENSMUSG00000001065	na	1438.71	1161.86	1124.06	997.725	1286.13	761.221	891.427	1155.71	1032.08
ENSMUSG00000001082	na	632.669	880.669	813.307	737.413	757.986	556.242	695.113	774.019	706.46
ENSMUSG00000001089	na	2141.93	2607.77	2742.42	2811.46	3815.86	2258.25	2061.28	2912.43	2811.24
ENSMUSG00000001095	na	9.05662	14.9871	180.735	8.37018	2.36133	739.32	94.1507	52.36	83.1502
ENSMUSG00000001098	na	5912.72	11999.8	12403.2	10110.4	9804.13	7451.77	8874.17	10378.6	11213.2
ENSMUSG00000001100	na	1258.87	1269.62	1328.77	1382.76	1200.34	1137.01	1234.98	1246.02	1249.79
ENSMUSG00000001105	na	1726.57	1365.96	1318.63	1928.49	1418.37	1737.93	2171.47	1162.55	1457.98
ENSMUSG00000001119	na	6862.32	5971.3	6482.47	5165.24	9691.62	4590.09	3315.3	6082.88	5599.64
ENSMUSG00000001120	na	408.843	440.335	534.83	197.536	481.711	372.289	271.435	361.208	487.474
ENSMUSG00000001123	na	1996.32	4738.38	9696.98	2593.07	6739.86	4236.43	3236.11	4935.73	7815.11
ENSMUSG00000001127	na	3933.81	2783.32	2768.19	3191.53	3076.02	2525.43	3501.6	3724.42	2994.04
ENSMUSG00000001128	na	1187.06	3412.76	3349.12	1222.04	1041.34	2277.52	897.436	1431.17	1708.07
ENSMUSG00000001131	na	238.707	2115.36	1960.41	4641.24	1587.6	5423.87	4266.69	1592.78	2770.06
ENSMUSG00000001134	na	144.934	230.826	247.546	268.933	142.272	226.171	261.882	229.685	259.348
ENSMUSG00000001138	na	1315.81	702.967	675.911	676.305	1434.9	541.354	468.749	773.262	695.663
ENSMUSG00000001143	na	1002.69	548.098	579.089	766.706	983.888	783.107	764.224	594.932	586.492
ENSMUSG00000001150	na	1419.95	1154.01	1129.59	837.019	1614.36	1044.16	940.505	1076.8	927.983
ENSMUSG00000001151	na	3969.38	5495.97	5609.41	5746.81	4910.86	3701.82	8263.01	5836.99	5349.56
ENSMUSG00000001156	na	6698.68	15791.3	22188.6	6537.11	8224.45	14870.5	6458.33	16507.2	22139.7
ENSMUSG00000001157	na	841.619	655.863	620.584	717.324	769.792	848.817	857.372	770.982	827.694
ENSMUSG00000001158	na	939.302	913.495	849.268	1296.54	811.505	1130.01	1236.98	881.773	1072.69
ENSMUSG00000001166	na	163.019	141.307	176.124	146.478	137.744	146.287	144.231	163.91	191.69
ENSMUSG00000001173	na	1127.55	948.469	917.506	1011.12	1120.84	552.739	818.308	1003.95	738.831
ENSMUSG00000001175	na	16800.7	24106.3	23691.9	25097.2	20706.5	28780.9	26792.2	20543.3	20894
ENSMUSG00000001211	na	3039.11	2754.26	2735.94	2711.09	3845.01	2623.55	2154.45	3093.06	2830.28
ENSMUSG00000001227	na	1423.2	3104.52	2676.86	2931.29	1425.45	1235.12	1755.83	2437.41	2026.69
ENSMUSG00000001228	na	81.8768	387.415	438.153	205.906	241.613	393.187	158.253	201.852	178.772
ENSMUSG00000001229	na	2084.95	3021.03	3238.4	2192.97	2539.97	2594.59	2804.53	2843.34	2488.12
ENSMUSG00000001240	na	14041.3	2372.82	1157.9	4442.1	12582.8	663.371	645.35	2171.23	2246.14
ENSMUSG00000001247	na	1603.68	1622.88	1532.55	2899.44	1303.46	2482.43	3016.82	1832.58	1876.29
ENSMUSG00000001248	na	4953.78	5209	6058.31	6728.51	3312.95	6458.74	8881.22	10640.8	7295.52
