#1.2																
19067	15															
NAME	DESCRIPTION	S42	S46	S81	S82	S47	S48	S75	S77	S79	S43	S44	S80	S74	S76	S78
ENSMUSG00000000823	na	1854.39	1479.61	1589.38	1662.65	1781.74	969.293	959.217	1456.35	1250.87	2045.62	2058.78	1673.99	1840.39	1933.83	2069.22
ENSMUSG00000000826	na	7510.02	10123	9861.6	5365.68	5089.88	9201	7500.03	10704.7	8385.52	4945.59	4745.86	5367.77	5119.16	4778.11	4926.91
ENSMUSG00000000827	na	1576.97	2166.64	2012.7	1818.1	2073.43	2389.51	1779.21	1975.11	2087.13	1889.51	1889.88	1748.27	1931.68	2062.01	2136.17
ENSMUSG00000000838	na	1828.59	2629.75	2291.67	1788.56	1994.3	2973.86	2684.58	2957.36	2625.24	1811.48	1800.28	1791.16	1996.61	2053.05	2106.93
ENSMUSG00000000876	na	9099.59	6468.28	5782.02	7438.86	9276.24	5430.77	6073.3	6444.06	4831.84	7989.23	7215.53	5649.05	4917.6	6325.16	7885.13
ENSMUSG00000000881	na	755.758	533.455	609.006	915.799	1213.1	578.723	641.168	693.272	742.898	890.625	980.465	924.047	1102.42	1094.38	1108.26
ENSMUSG00000000884	na	137.328	85.5871	73.9254	95.6703	113.03	89.4894	117.869	126.05	86.3367	84.8671	89.6019	116.331	147.143	141.279	132.256
ENSMUSG00000000901	na	47.9266	12.8967	18.4813	106.45	85.1743	13.4955	13.2094	21.3315	29.1135	114.132	97.8411	119.631	166.008	229.492	130.581
ENSMUSG00000000902	na	903.234	1011.8	1060.48	1154.9	1361.93	977.237	742.777	745.635	973.8	1421.28	1423.33	1453.72	1652.53	1488.59	1488.29
ENSMUSG00000000915	na	6447.95	9286.73	8736.36	3320.23	4494.45	11380.6	9618.5	9059.09	8942.87	2703.06	2658.19	2981.7	2794.97	3034.39	2935.58
ENSMUSG00000000916	na	389.864	476.006	457.633	469.733	496.419	423.124	310.93	376.211	369.441	494.571	449.039	447.172	528.961	527.901	477.124
ENSMUSG00000000934	na	1382.5	1091.53	1026.15	1105.05	930.033	958.184	1102.48	1065.61	848.308	1398.84	1057.71	874.543	659.504	724.312	932.485
ENSMUSG00000000938	na	1029.5	876.971	745.417	1275.72	1375.71	1062.18	929.741	1092.76	957.733	1831	1767.33	1498.28	1670.64	1671.23	1747.79
ENSMUSG00000000942	na	74.6549	14.0691	34.3225	46.4664	90.3363	33.3419	43.6928	37.815	47.184	73.1613	54.585	60.2281	94.3226	99.2398	95.4249
ENSMUSG00000000948	na	12.9033	8.20699	7.92058	18.5866	17.2739	9.52627	3.04833	43.6327	9.03523	14.6323	15.4486	16.5008	11.3187	11.7158	33.4824
ENSMUSG00000000957	na	885.721	1015.32	712.852	491.699	949.821	1510.7	994.775	1683.24	1251.88	206.803	173.024	219.461	311.642	215.019	297.156
ENSMUSG00000000958	na	2296.77	1871.18	1717.02	2322.47	1764.56	1562.31	2466.13	3814.5	1424.56	3312.7	3415.18	1271.38	3621.33	3826.3	4501.7
ENSMUSG00000000959	na	2626.75	1881.75	1775.98	2285.29	2377.12	1840.15	2086.08	2013.9	1797	2700.14	2473.83	2013.93	1970.21	2135.72	2648.46
ENSMUSG00000000976	na	437.79	527.593	551.801	687.699	601.381	536.645	409.493	480.929	652.545	656.502	701.369	689.732	774.952	681.589	746.655
ENSMUSG00000001014	na	14.7466	9.37941	14.9611	10.1381	12.0448	11.9078	27.435	13.5746	13.0509	2.92645	7.20934	11.5506	14.337	4.82415	6.69648
ENSMUSG00000001016	na	1804.63	1590.99	1706.45	1504.67	2228.27	2398.23	2554.48	2024.55	2415.41	1228.14	1351.24	1575.83	1832.89	1712.57	1596.28
ENSMUSG00000001017	na	3320.74	3768.16	3682.17	3417.39	4208.75	4867.88	4462.79	3935.72	4527.67	3375.17	3429.59	3329.86	3563.11	3820.76	3790.2
ENSMUSG00000001018	na	1098.62	968.424	996.232	1046.76	1083.18	931.988	998.838	1109.24	1257.9	984.264	1056.68	1086.58	1149.98	1234.98	1230.48
ENSMUSG00000001020	na	82.0282	93.7941	94.1669	87.0188	85.1743	65.0962	159.529	96.9615	107.419	39.9948	32.957	145.207	127.524	93.7264	41.853
ENSMUSG00000001025	na	492.169	834.768	3284.35	2357.14	375.111	635.082	6113.97	506.139	4354.96	148.274	1156.59	5078.97	3415.24	1447.26	269.534
ENSMUSG00000001027	na	10.1383	1.17243	3.52026	29.5695	12.0448	12.7017	22.3545	18.4227	20.0783	2.92645	15.4486	22.2761	16.6008	33.7691	17.5783
ENSMUSG00000001029	na	144.701	77.3802	118.809	220.504	351.021	164.328	111.772	133.807	213.834	145.347	159.635	175.734	239.957	241.897	217.636
ENSMUSG00000001034	na	340.094	600.283	705.813	464.665	571.27	638.262	539.555	486.746	762.977	301.424	410.933	742.539	741.751	574.763	452.849
ENSMUSG00000001036	na	1095.86	1402.23	1481.14	1958.37	1737.9	1713.12	1217.3	1548.47	2089.12	853.55	1164.83	1771.35	1949.81	1734.65	1188.63
ENSMUSG00000001039	na	188.941	170.002	149.611	153.761	243.478	172.267	161.562	166.774	156.611	218.508	217.31	181.509	217.319	227.425	290.46
ENSMUSG00000001052	na	1802.78	2271	2079.58	2190.68	2048.48	2674.5	2082.01	2303.8	2231.69	2097.3	1948.58	1966.08	2010.2	1945.53	2051.65
ENSMUSG00000001053	na	589.866	665.939	469.954	642.081	709.785	716.852	615.763	618.614	568.216	414.58	448.009	410.046	510.097	496.888	453.687
ENSMUSG00000001054	na	988.947	1218.16	1431.85	920.877	706.346	855.779	1063.86	928.886	915.573	1093.51	947.513	839.892	742.505	815.967	739.963
ENSMUSG00000001056	na	2574.21	3076.45	2392.89	1380.47	887.013	1020.9	1384.97	1139.29	1195.66	2225.09	1883.71	1788.69	672.329	624.383	719.871
ENSMUSG00000001062	na	1200.01	995.39	920.547	980.866	1008.33	648.58	732.618	797.024	704.747	1359.83	1256.48	1049.45	1036.8	1015.83	1104.92
ENSMUSG00000001065	na	686.643	692.904	795.578	958.056	1010.9	747.812	538.539	637.037	805.142	1155.95	1156.58	1030.48	990.763	1223.96	1108.27
ENSMUSG00000001076	na	22.12	7.03456	5.28039	5.06906	6.02242	3.17542	2.03222	4.84807	1.00391	12.6813	8.23925	6.60034	3.01832	6.89165	9.20767
ENSMUSG00000001082	na	444.243	425.591	455.873	392.007	457.704	395.34	442.008	421.783	661.58	378.488	404.753	470.274	364.462	412.81	382.537
ENSMUSG00000001089	na	1882.04	2514.85	2014.49	2377.36	2294.54	2773.73	1944.84	2861.39	2385.31	1436.9	1792.03	2119.53	2512.71	2163.22	2205.71
ENSMUSG00000001095	na	1546.55	1688.29	1536.59	2938.36	2158.61	761.307	1246.77	1337.1	712.779	4068.74	3114.44	2074.16	3240.92	2988.22	4845.74
ENSMUSG00000001098	na	2432.27	2729.41	3408.48	2444.98	1947.82	3282.59	2534.18	3710.7	4079.91	1152.05	1512.93	2588.99	2345.99	1873.84	1460.67
ENSMUSG00000001100	na	4013.8	2977.95	3128.6	3283.94	2837.4	2392.69	2687.6	2984.51	2412.42	4233.55	4034.14	3205.34	3345.75	3215.01	3760.87
ENSMUSG00000001105	na	1215.68	1007.11	976.871	953.828	1441.94	1066.94	1062.85	832.9	801.124	1415.43	1270.91	1226.01	1182.43	1236.36	1276.52
ENSMUSG00000001119	na	424.888	139.519	188.334	244.16	342.418	117.491	190.013	367.484	305.19	249.724	303.822	324.242	643.658	380.419	385.048
ENSMUSG00000001120	na	1884.8	1636.71	1565.63	1075.48	805.285	1110.6	1221.36	1096.64	1145.47	955.977	1046.39	928.169	548.581	667.801	698.946
ENSMUSG00000001123	na	800.01	1957.94	544.758	567.736	1429.88	2330.75	1378.87	2375.62	2622.22	230.215	226.579	283.815	338.051	322.53	324.779
ENSMUSG00000001127	na	3918.96	2961.55	2857.56	3498.52	3720.16	2862.63	3124.55	3226.89	3038.86	3779.97	3533.58	3330.67	3240.92	3662.19	3735.67
ENSMUSG00000001128	na	183.411	187.588	147.851	159.675	224.55	196.082	168.674	184.227	157.615	124.862	97.8411	154.283	176.572	190.21	135.604
ENSMUSG00000001131	na	227.651	655.388	271.06	103.071	229.712	891.496	480.621	652.554	856.337	11.7058	10.2991	44.5523	22.6374	17.2291	15.9042
ENSMUSG00000001134	na	525.445	428.261	371.569	241.135	347.565	363.259	363.857	399.525	383.961	336.401	295.96	291.668	238.781	267.37	280.153
ENSMUSG00000001138	na	1815.72	1377.59	1613.15	1761.48	1613.99	1333.66	1348.38	1737.54	1390.41	1519.81	1473.81	1373.68	1411.07	1599.52	1547.74
ENSMUSG00000001143	na	1657.16	1782.09	1642.2	1966.78	1682.84	1366.23	1215.26	1147.05	1039.05	2650.39	2717.92	2223.52	2012.47	1970.32	2102.68
ENSMUSG00000001150	na	797.24	803.112	842.221	1186.16	957.564	834.342	634.054	836.778	780.042	1260.32	1348.15	1238.39	1305.42	1274.96	1355.2
ENSMUSG00000001151	na	1413.83	922.699	992.714	1512.28	1424.74	1105.05	901.291	1322.56	1036.04	1414.45	1544.86	1282.11	1406.54	1556.14	1586.24
ENSMUSG00000001155	na	716.134	291.934	315.063	354.834	125.611	64.3023	76.2084	85.3261	64.2505	1294.47	824.952	445.523	141.861	195.723	220.147
ENSMUSG00000001156	na	893.094	1394.02	1094.8	798.377	908.525	1696.47	1873.71	1902.39	1774.92	778.436	682.828	812.666	768.163	845.605	782.652
